Date/Time,Lat,Lon,Base
4/26/14 13:17,40.7195,-74.0123,B02512
5/17/14 13:18,40.7529,-73.9855,B02512
6/30/14 13:20,40.7501,-73.9761,B02512
6/9/14 13:22,40.7197,-73.9917,B02512
4/25/14 13:22,40.7619,-73.9729,B02512
6/13/14 13:23,40.783,-73.951,B02512
5/1/14 13:24,40.7319,-73.9877,B02512
5/30/14 13:26,40.7538,-73.9926,B02512
6/29/14 13:26,40.7189,-74.0065,B02512
7/5/14 13:27,40.7455,-73.988,B02512
5/15/14 13:30,40.753,-74.0248,B02512
6/30/14 13:30,40.753,-74.0248,B02512
6/27/14 13:33,40.7646,-73.9686,B02512
5/28/14 13:34,40.7692,-73.9829,B02512
6/13/14 13:34,40.7275,-74.0088,B02512
6/13/14 13:35,40.7494,-73.9923,B02512
6/6/14 13:35,40.6957,-73.9872,B02512
6/9/14 13:39,40.695,-74.1784,B02512
4/16/14 13:40,40.7739,-73.8728,B02512
5/29/14 13:40,40.7757,-73.4202,B02512
4/7/14 13:40,40.7651,-73.9531,B02512
6/4/14 13:41,40.7663,-73.9251,B02512
4/22/14 13:42,40.7177,-73.9966,B02512
4/9/14 13:44,40.78,-73.961,B02512
6/21/14 13:45,40.7741,-73.8727,B02512
4/2/14 13:47,40.7385,-73.9854,B02512
5/31/14 13:49,40.7685,-73.8624,B02512
4/6/14 13:49,40.6926,-73.9873,B02512
4/17/14 13:51,40.7346,-73.9963,B02512
5/18/14 13:51,40.776,-73.9441,B02512
6/5/14 13:53,40.7211,-74.0005,B02512
5/7/14 13:55,40.7026,-74.0126,B02512
5/13/14 13:56,40.768,-73.9523,B02512
4/24/14 13:56,40.7485,-74.0061,B02512
5/31/14 13:56,40.7568,-73.9717,B02512
4/7/14 13:57,40.7617,-73.9838,B02512
4/19/14 13:57,40.774,-73.8728,B02512
6/2/14 13:59,40.6919,-73.9966,B02512
6/11/14 14:00,40.7754,-73.9905,B02512
6/10/14 14:01,40.7515,-73.993,B02512
4/16/14 14:02,40.7719,-73.9655,B02512
5/15/14 14:03,40.7739,-73.8724,B02512
5/4/14 14:03,40.6946,-74.1775,B02512
5/2/14 14:04,40.7331,-73.9998,B02512
5/28/14 14:05,40.7732,-73.8856,B02512
6/4/14 14:06,40.7417,-73.9894,B02512
5/19/14 14:08,40.7325,-74.0018,B02512
5/19/14 14:11,40.764,-73.9685,B02512
6/27/14 14:14,40.7577,-73.9723,B02512
5/31/14 14:15,40.6953,-74.1783,B02512
7/1/14 14:15,40.7572,-73.9841,B02512
4/21/14 14:16,40.8056,-74.3923,B02512
6/17/14 14:16,40.7595,-73.9736,B02512
5/7/14 14:17,40.7853,-73.9556,B02512
5/25/14 14:17,40.7853,-73.9556,B02512
6/10/14 14:18,40.7244,-74.0007,B02512
6/2/14 14:20,40.7196,-74.0006,B02512
5/13/14 14:21,40.7691,-73.9812,B02512
5/22/14 14:21,40.7516,-73.9909,B02512
5/22/14 14:21,40.7677,-73.9657,B02512
4/14/14 14:23,40.7546,-73.966,B02512
4/6/14 14:23,40.7578,-73.9893,B02512
6/23/14 14:23,40.7619,-73.9791,B02512
4/4/14 14:26,40.7397,-73.9867,B02512
4/26/14 14:27,40.7275,-74.001,B02512
6/10/14 14:27,40.7694,-73.9658,B02512
4/16/14 14:28,40.8005,-73.9693,B02512
6/4/14 14:29,40.645,-73.7819,B02512
6/19/14 14:32,40.9651,-74.0736,B02512
5/20/14 14:32,40.7705,-73.9662,B02512
4/3/14 14:36,40.6833,-73.9768,B02512
4/13/14 14:37,40.7797,-74.0097,B02512
4/25/14 14:38,40.7598,-73.9915,B02512
4/25/14 14:39,40.6448,-73.7826,B02512
4/5/14 14:40,40.7407,-73.9869,B02512
5/19/14 14:40,40.7754,-73.9628,B02512
6/28/14 14:41,40.7104,-73.9847,B02512
6/21/14 14:42,40.7198,-74.0051,B02512
4/11/14 14:43,40.7103,-73.9846,B02512
5/28/14 14:43,40.6931,-74.1834,B02512
6/26/14 14:45,40.7394,-74.0062,B02512
6/1/14 14:45,40.7647,-73.9706,B02512
5/5/14 14:51,40.7642,-73.9632,B02512
5/26/14 14:53,40.6951,-74.1787,B02512
6/9/14 14:55,40.7585,-73.9697,B02512
6/27/14 14:55,40.7504,-73.9945,B02512
6/7/14 14:57,40.7682,-73.953,B02512
4/14/14 14:57,40.7247,-74.0022,B02512
4/6/14 14:57,40.7145,-74.0025,B02512
6/14/14 15:00,40.7593,-73.9745,B02512
6/9/14 15:02,40.7284,-74.0071,B02512
6/28/14 15:03,40.7079,-74.0093,B02512
5/29/14 15:04,40.7692,-73.9631,B02512
