,zip,primary_city,county,state,County#
209,50307,DES MOINES,Polk,IA,77
210,50308,DES MOINES,Polk,IA,77
211,50309,DES MOINES,Polk,IA,77
212,50310,DES MOINES,Polk,IA,77
213,50311,DES MOINES,Polk,IA,77
214,50312,DES MOINES,Polk,IA,77
215,50313,DES MOINES,Polk,IA,77
216,50314,DES MOINES,Polk,IA,77
217,50315,DES MOINES,Polk,IA,77
218,50316,DES MOINES,Polk,IA,77
219,50317,DES MOINES,Polk,IA,77
220,50318,DES MOINES,Polk,IA,77
221,50319,DES MOINES,Polk,IA,77
222,50320,DES MOINES,Polk,IA,77
223,50321,DES MOINES,Polk,IA,77
224,50322,URBANDALE,Polk,IA,77
225,50323,URBANDALE,Dallas,IA,25
226,50324,WINDSOR HEIGHTS,Polk,IA,77
227,50325,CLIVE,Polk,IA,77
228,50327,PLEASANT HILL,Polk,IA,77
229,50328,DES MOINES,Polk,IA,77
230,50329,DES MOINES,Polk,IA,77
231,50330,DES MOINES,Polk,IA,77
232,50331,DES MOINES,Polk,IA,77
233,50332,DES MOINES,Polk,IA,77
234,50333,DES MOINES,Polk,IA,77
235,50334,DES MOINES,Polk,IA,77
236,50335,DES MOINES,Polk,IA,77
237,50336,DES MOINES,Polk,IA,77
238,50339,DES MOINES,Polk,IA,77
239,50340,DES MOINES,Polk,IA,77
240,50347,DES MOINES,Polk,IA,77
241,50359,DES MOINES,Polk,IA,77
242,50360,DES MOINES,Polk,IA,77
243,50361,DES MOINES,Polk,IA,77
244,50362,DES MOINES,Polk,IA,77
245,50363,DES MOINES,Polk,IA,77
246,50364,DES MOINES,Polk,IA,77
247,50367,DES MOINES,Polk,IA,77
248,50368,DES MOINES,Polk,IA,77
249,50369,DES MOINES,Polk,IA,77
250,50380,DES MOINES,Polk,IA,77
251,50381,DES MOINES,Polk,IA,77
252,50391,DES MOINES,Polk,IA,77
253,50392,DES MOINES,Polk,IA,77
254,50393,DES MOINES,Polk,IA,77
255,50394,DES MOINES,Polk,IA,77
256,50395,DES MOINES,Polk,IA,77
257,50396,DES MOINES,Polk,IA,77
258,50397,DES MOINES,Polk,IA,77
259,50398,URBANDALE,Polk,IA,77
260,50401,MASON CITY,Cerro Gordo,IA,17
261,50402,MASON CITY,Cerro Gordo,IA,17
262,50420,ALEXANDER,Franklin,IA,35
263,50421,BELMOND,Wright,IA,99
264,50423,BRITT,Hancock,IA,41
265,50424,BUFFALO CENTER,Winnebago,IA,95
266,50426,CARPENTER,Mitchell,IA,66
267,50427,CHAPIN,Franklin,IA,35
268,50428,CLEAR LAKE,Cerro Gordo,IA,17
269,50430,CORWITH,Hancock,IA,41
270,50431,COULTER,Franklin,IA,35
271,50432,CRYSTAL LAKE,Hancock,IA,41
272,50433,DOUGHERTY,Cerro Gordo,IA,17
273,50434,FERTILE,Worth,IA,98
274,50435,FLOYD,Floyd,IA,34
275,50436,FOREST CITY,Winnebago,IA,95
276,50438,GARNER,Hancock,IA,41
277,50439,GOODELL,Hancock,IA,41
278,50440,GRAFTON,Worth,IA,98
279,50441,HAMPTON,Franklin,IA,35
280,50444,HANLONTOWN,Worth,IA,98
281,50446,JOICE,Worth,IA,98
282,50447,KANAWHA,Hancock,IA,41
283,50448,KENSETT,Worth,IA,98
284,50449,KLEMME,Hancock,IA,41
285,50450,LAKE MILLS,Winnebago,IA,95
286,50451,LAKOTA,Kossuth,IA,55
287,50452,LATIMER,Franklin,IA,35
288,50453,LELAND,Winnebago,IA,95
289,50454,LITTLE CEDAR,Mitchell,IA,66
290,50455,MC INTIRE,Mitchell,IA,66
